date,total_cta_rides,bus_rides,train_rides,total_311_complaints,transit_related_complaints,traffic_record_count,total_traffic_volume,avg_traffic_volume,avg_traffic_speed,total_crimes,total_arrests,arrest_rate
2025-01-01,381124.0,222363.0,158761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,652040.0,420233.0,231807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,664201.0,429176.0,235025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-04,487239.0,312215.0,175024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-05,365489.0,238295.0,127194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,740312.0,476792.0,263520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-07,844173.0,536559.0,307614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,850727.0,541599.0,309128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,853355.0,547693.0,305662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,750439.0,491837.0,258602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-11,527055.0,339583.0,187472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12,382059.0,245870.0,136189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,801333.0,517511.0,283822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,849751.0,533392.0,316359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,860480.0,545654.0,314826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,904842.0,577563.0,327279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-17,854057.0,563488.0,290569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
